20170602162711.363666, 020617, 162715.50, -118.453568, +33.966100, 232.30, 234.50, 4.99,  19.9509,   33.397,   4.59081, 00755.0
20170602162712.360455, 020617, 162716.50, -118.453592, +33.966086, 231.02, 233.11, 5.18,  19.9469,   33.398,   4.59055, 00755.0
20170602162713.362246, 020617, 162717.50, -118.453615, +33.966073, 229.72, 234.55, 4.88,  19.9456,   33.398,   4.59035, 00744.0
20170602162714.375051, 020617, 162718.50, -118.453637, +33.966058, 228.01, 233.62, 5.21,  19.9425,   33.399,   4.59026, 00746.0
20170602162715.369835, 020617, 162719.50, -118.453658, +33.966044, 227.40, 230.38, 4.83,  19.9399,   33.400,   4.59015, 00732.0
20170602162716.365639, 020617, 162720.50, -118.453680, +33.966029, 227.35, 229.58, 5.10,  19.9390,   33.400,   4.58999, 00731.0
20170602162717.362412, 020617, 162721.50, -118.453700, +33.966014, 228.02, 229.73, 4.88,  19.9385,   33.400,   4.58992, 00721.0
20170602162718.366205, 020617, 162722.50, -118.453722, +33.965998, 229.10, 228.97, 5.14,  19.9398,   33.399,   4.58996, 00710.0
20170602162719.366997, 020617, 162723.50, -118.453743, +33.965983, 229.92, 230.31, 4.98,  19.9404,   33.398,   4.58994, 00710.0
20170602162720.362785, 020617, 162724.50, -118.453765, +33.965968, 231.08, 229.04, 5.19,  19.9423,   33.399,   4.59022, 00699.0
20170602162721.361575, 020617, 162725.50, -118.453787, +33.965953, 231.68, 232.62, 5.00,  19.9445,   33.400,   4.59051, 00693.0
20170602162722.363366, 020617, 162726.50, -118.453810, +33.965938, 232.77, 230.70, 5.15,  19.9466,   33.400,   4.59074, 00679.0
20170602162723.360156, 020617, 162727.50, -118.453832, +33.965924, 233.15, 232.28, 5.05,  19.9492,   33.399,   4.59087, 00690.0
20170602162724.362948, 020617, 162728.50, -118.453855, +33.965910, 233.64, 233.27, 5.08,  19.9527,   33.400,   4.59134, 00681.0
20170602162725.364743, 020617, 162729.50, -118.453877, +33.965896, 234.07, 233.41, 5.08,  19.9558,   33.399,   4.59151, 00681.0
